"id","product","cpu","ram","price","typename","inches","screenresolution","memory","gpu","opsys","weight","image","recommended","selected","headset","keyboard","mouse","checkout"
9,"Inspiron 3567","Intel Core i3 6006U 2GHz",4,33009,"Notebook","15.6","1366x768","1TB HDD","Intel HD Graphics 520","Windows 10","2.3kg","Inspiron 3567.jpg",0,0,"KB216 ","UC300 with Mic","WM118 optical",0
127,"Vostro 5568","Intel Core i5 7200U 2.5GHz",4,71950,"Notebook","15.6","Full HD 1920x1080","128GB SSD +  1TB HDD","Nvidia GeForce 940MX","Windows 10","2.18kg","Vostro.jpg",0,0,"KB216 ","UC300 with Mic","MS111 optical",0
117,"Inspiron 5577","Intel Core i5 7300HQ 2.5GHz",8,69309,"Gaming","15.6","Full HD 1920x1080","256GB SSD","Nvidia GeForce GTX 1050","Windows 10","2.56kg","Inspiron 5577.jpg",0,0,"KB216 ","UC150 with Mic","MS111 optical",0
87,"Inspiron 5570","Intel Core i5 8250U 1.6GHz",4,61187,"Notebook","15.6","Full HD 1920x1080","1TB HDD","AMD Radeon 530","Windows 10","2.2kg","Inspiron 5570.jpg",0,0,"WD4XO","UC150 with Mic","MS116 optical",0
200,"Alienware 15","Intel Core i7 6700HQ 2.6GHz",16,104791,"Gaming","15.6","4K Ultra HD 3840x2160","256GB SSD +  1TB HDD","Nvidia GeForce GTX 970M","Windows 10","3.21kg","Alienware 15.jpg",0,0,"WD4XO","UC150 with Mic","MS116 optical",0
176,"Latitude 5490","Intel Core i5 8250U 1.6GHz",8,90598,"Ultrabook","14.0","Full HD 1920x1080","256GB SSD","Intel UHD Graphics 620","Windows 10","1.6kg","Latitude.jpg",0,0,"KB216 ","UC300 with Mic","MS111 optical",0
65,"Inspiron 5567","Intel Core i7 7500U 2.7GHz",12,56225,"Notebook","15.6","1366x768","1TB HDD","Intel HD Graphics 620","Windows 10","2.3kg","Inspiron 5567.jpg",5,1,"KB216 ","UC300 with Mic","WM118 optical",1
2,"Chromebook 11","Intel Celeron Dual Core N3060 1.6GHz",4,23260,"Netbook","11.6","1366x768","16GB Flash Storage","Intel HD Graphics 400","Chrome OS","1.26kg","Chromebook 11.jpg",0,0,"WD4XO","UC150 with Mic","MS116 optical",0
3,"Inspiron 3552","Intel Celeron Dual Core N3060 1.60GHz",4,24364,"Notebook","15.6","1366x768","500GB HDD","Intel HD Graphics 400","Windows 10","1.8kg","Inspiron 3552.jpg",0,0,"KB216 ","UC150 with Mic","MS111 optical",0
190,"Inspiron 5577","Intel Core i7 7700HQ 2.8GHz",16,98504,"Gaming","15.6","Full HD 1920x1080","512GB SSD","Nvidia GeForce GTX 1050","Windows 10","2.56kg","Inspiron 5577.jpg",0,0,"KB216 ","UC300 with Mic","WM118 optical",0
182,"Inspiron 5567","Intel Core i7 7500U 2.7GHz",16,93143,"Notebook","15.6","Full HD 1920x1080","256GB SSD","AMD Radeon R7 M445","Windows 10","2.3kg","Inspiron 5567.jpg",0,0,"KB216 ","UC300 with Mic","MS111 optical",0
183,"Inspiron 7577","Intel Core i5 7300HQ 2.5GHz",8,94225,"Gaming","15.6","Full HD 1920x1080","256GB SSD","Nvidia GeForce GTX 1060","Windows 10","2.65kg","Inspiron 7577.jpg",0,1,"KB216 ","UC300 with Mic","MS111 optical",1
26,"Inspiron 5567","Intel Core i3 6006U 2.0GHz",4,39346,"Notebook","15.6","1366x768","128GB SSD","AMD Radeon R7 M440","Windows 10","2.3kg","Inspiron 5567.jpg",0,0,"DE-KB-2234","UC300 with Mic","WM126 optical red",0
122,"Vostro 5568","Intel Core i7 7500U 2.7GHz",8,70571,"Notebook","15.6","Full HD 1920x1080","256GB SSD","Nvidia GeForce GT 940MX","Linux","1.98kg","Vostro.jpg",0,1,"KB216 ","UC300 with Mic","MS111 optical",1
6,"Inspiron 3552","Intel Pentium Quad Core N3710 1.6GHz",4,29095,"Notebook","15.6","1366x768","500GB HDD","Intel HD Graphics","Windows 10","2.2kg","Inspiron 3552.jpg",0,0,"KB216 ","UC150 with Mic","MS111 optical",0
46,"Vostro 3568","Intel Core i3 6006U 2.0GHz",4,48413,"Notebook","15.6","1366x768","1TB HDD","AMD Radeon R5 M420X","Windows 10","2.18kg","Vostro.jpg",0,0,"WD4XO","UC150 with Mic","MS111 optical",0
10,"Inspiron 3567","Intel Core i3 6006U 2.0GHz",4,33747,"Notebook","15.6","Full HD 1920x1080","1TB HDD","AMD Radeon R5 M430","Linux","2.25kg","Inspiron 3567.jpg",0,0,"KB216 ","UC300 with Mic","WM118 optical",0
48,"Inspiron 5567","Intel Core i5 7200U 2.5GHz",8,50369,"Notebook","15.6","Full HD 1920x1080","1TB HDD","AMD Radeon R7 M445","Windows 10","2.36kg","Inspiron 5567.jpg",0,0,"KB216 ","UC300 with Mic","WM118 optical",0
25,"Inspiron 3567","Intel Core i3 6006U 2GHz",4,39338,"Notebook","15.6","Full HD 1920x1080","256GB SSD","AMD Radeon R5 M430","Windows 10","2.2kg","Inspiron 3567.jpg",0,0,"DE-KB-2234","UC300 with Mic","WM126 optical red",0
22,"Latitude 3570","Intel Core i3 6100U 2.3GHz",4,38004,"Notebook","15.6","1366x768","500GB HDD","Intel HD Graphics 520","Windows 10","2.06kg","Latitude.jpg",0,0,"DE-KB-2234","UC300 with Mic","WM126 optical red",0
33,"Inspiron 3567","Intel Core i5 7200U 2.5GHz",8,43948,"Notebook","15.6","Touchscreen 1366x768","2TB HDD","Intel HD Graphics 620","Windows 10","2.36kg","Inspiron 3567.jpg",5,0,"WD4XO","UC150 with Mic","MS111 optical",0
81,"Inspiron 3567","Intel Core i7 7500U 2.7GHz",8,59059,"Notebook","15.6","Full HD 1920x1080","256GB SSD","AMD Radeon R5 M430","Linux","2.2kg","Inspiron 3567.jpg",5,0,"KB216 ","UC300 with Mic","WM126 optical red",0
91,"Vostro 5568","Intel Core i5 7200U 2.5GHz",8,62685,"Notebook","15.6","Full HD 1920x1080","256GB SSD","Intel HD Graphics 620","Windows 10","2.18kg","Vostro.jpg",0,0,"WD4XO","UC150 with Mic","MS116 optical",0
83,"Latitude 3480","Intel Core i5 6200U 2.3GHz",4,59531,"Notebook","14.0","1366x768","500GB HDD","Intel HD Graphics 520","Windows 10","1.76kg","Latitude.jpg",0,0,"KB216 ","UC300 with Mic","WM126 optical red",0
12,"Vostro 3568","Intel Core i3 6006U 2.0GHz",4,35001,"Notebook","15.6","1366x768","1TB HDD","Intel HD Graphics 520","Linux","2.18kg","Vostro.jpg",0,0,"KB216 ","UC300 with Mic","WM118 optical",0
19,"Inspiron 3567","Intel Core i3 6006U 2.0GHz",4,36714,"Notebook","15.6","1366x768","1TB HDD","AMD Radeon R5 M430","Linux","2.25kg","Inspiron 3567.jpg",0,0,"DE-KB-2234","UC300 with Mic","WM126 optical red",0
39,"Latitude 3480","Intel Core i3 6006U 2GHz",4,46127,"Notebook","14.0","1366x768","500GB HDD","Intel HD Graphics 520","Windows 10","1.76kg","Latitude.jpg",0,0,"WD4XO","UC150 with Mic","MS111 optical",0
24,"Vostro 3568","Intel Core i3 6006U 2GHz",4,38636,"Notebook","15.6","1366x768","500GB HDD","Intel HD Graphics 520","Windows 10","2.29kg","Vostro.jpg",0,0,"DE-KB-2234","UC300 with Mic","WM126 optical red",0
63,"Latitude 3380","Intel Core i3 6006U 2GHz",4,54327,"Notebook","13.3","1366x768","128GB SSD","Intel HD Graphics 520","Windows 10","1.65kg","Latitude.jpg",0,0,"KB216 ","UC300 with Mic","WM118 optical",0
152,"Inspiron 5579","Intel Core i7 8550U 1.8GHz",8,82713,"2 in 1 Convertible","15.6","Full HD / Touchscreen 1920x1080","256GB SSD","Intel UHD Graphics 620","Windows 10","1.56kg","Inspiron.jpg",0,0,"WD4XO","UC150 with Mic","MS116 optical",0
198,"Inspiron 7579","Intel Core i7 7500U 2.7GHz",12,102426,"2 in 1 Convertible","15.6","IPS Panel Full HD / Touchscreen 1920x1080","512GB SSD","Intel HD Graphics 620","Windows 10","2.19kg","Inspiron.jpg",0,0,"WD4XO","UC150 with Mic","MS116 optical",0
261,"Alienware 15","Intel Core i5 7300HQ 2.5GHz",16,161721,"Gaming","15.6","Full HD 1920x1080","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1060","Windows 10","3.21kg","Alienware 15.jpg",0,0,"KB216 ","UC150 with Mic","MS111 optical",0
154,"Inspiron 7570","Intel Core i5 8250U 1.6GHz",8,82713,"Ultrabook","15.6","IPS Panel Full HD 1920x1080","128GB SSD +  1TB HDD","Nvidia GeForce 940MX","Windows 10","1.9kg","Inspiron 7570.jpg",0,0,"WD4XO","UC150 with Mic","MS116 optical",0
38,"Inspiron 3567","Intel Core i5 7200U 2.5GHz",4,46127,"Notebook","15.6","Full HD 1920x1080","500GB HDD","AMD Radeon R5 M430","Windows 10","2.3kg","Inspiron 3567.jpg",0,0,"WD4XO","UC150 with Mic","MS111 optical",0
28,"Vostro 3568","Intel Core i5 7200U 2.5GHz",4,41148,"Notebook","15.6","1366x768","1TB HDD","Intel HD Graphics 520","Linux","2.18kg","Vostro.jpg",0,0,"WD4XO","UC150 with Mic","MS116 optical",0
34,"Vostro 3568","Intel Core i3 6006U 2.0GHz",4,44045,"Notebook","15.6","1366x768","1TB HDD","Intel HD Graphics 520","Windows 10","2.18kg","Vostro.jpg",0,0,"WD4XO","UC150 with Mic","MS111 optical",0
42,"Inspiron 3567","Intel Core i5 7200U 2.5GHz",4,47223,"Notebook","15.6","Full HD 1920x1080","256GB SSD","AMD Radeon R5 M430","Linux","2.3kg","Inspiron 3567.jpg",5,0,"WD4XO","UC150 with Mic","MS111 optical",0
255,"Latitude E7470","Intel Core i7 6600U 2.6GHz",8,154780,"Ultrabook","14.0","Touchscreen 2560x1440","256GB SSD","Intel HD Graphics 520","Windows 10","1.5kg","Latitude.jpg",0,0,"KB216 ","UC150 with Mic","MS111 optical",0
45,"Inspiron 3179","Intel Core M 7Y30 1.0GHz",4,47546,"2 in 1 Convertible","11.6","Touchscreen 1366x768","128GB SSD","Intel HD Graphics 615","Windows 10","1.39kg","Inspiron.jpg",0,0,"WD4XO","UC150 with Mic","MS111 optical",0
31,"Inspiron 3567","Intel Core i3 6006U 2GHz",4,43026,"Notebook","15.6","1366x768","1TB HDD","AMD Radeon R5 M430","Windows 10","2.2kg","Inspiron 3567.jpg",0,0,"WD4XO","UC150 with Mic","MS116 optical",0
32,"Vostro 3568","Intel Core i3 7100U 2.4GHz",4,43130,"Notebook","15.6","1366x768","128GB SSD","Intel HD Graphics 620","Windows 10","2.18kg","Vostro.jpg",0,0,"WD4XO","UC150 with Mic","MS116 optical",0
35,"Inspiron 3567","Intel Core i5 7200U 2.5GHz",4,44077,"Notebook","15.6","Full HD 1920x1080","1TB HDD","Intel HD Graphics","Windows 10","2.25kg","Inspiron 3567.jpg",0,0,"WD4XO","UC150 with Mic","MS111 optical",0
30,"Inspiron 3567","Intel Core i5 7200U 2.5GHz",8,42575,"Notebook","15.6","1366x768","1TB HDD","Intel HD Graphics 620","Windows 10","2.14kg","Inspiron 3567.jpg",5,0,"WD4XO","UC150 with Mic","MS116 optical",0
8,"Inspiron 3552","Intel Pentium Quad Core N3700 1.6GHz",4,31026,"Notebook","15.6","1366x768","500GB HDD","Intel HD Graphics","Linux","2.2kg","Inspiron 3552.jpg",0,0,"KB216 ","UC300 with Mic","WM118 optical",0
44,"Inspiron 3567","Intel Core i7 7500U 2.7GHz",8,47302,"Notebook","15.6","Full HD 1920x1080","1TB HDD","AMD Radeon R5 M430","Linux","2.2kg","Inspiron 3567.jpg",5,1,"WD4XO","UC150 with Mic","MS111 optical",1
17,"Inspiron 3567","Intel Core i3 7100U 2.4GHz",6,36192,"Notebook","15.6","1366x768","1TB HDD","Intel HD Graphics 620","Windows 10","2.3kg","Inspiron 3567.jpg",0,0,"KB216 ","UC300 with Mic","WM118 optical",0
7,"Inspiron 3552","Intel Celeron Dual Core N3050 1.6GHz",2,29884,"Notebook","15.6","1366x768","500GB HDD","Intel HD Graphics","Windows 10","2.20kg","Inspiron 3552.jpg",0,0,"KB216 ","UC150 with Mic","MS111 optical",0
85,"Inspiron 3576","Intel Core i7 8550U 1.8GHz",8,60541,"Notebook","15.6","Full HD 1920x1080","256GB SSD","AMD Radeon 520","Windows 10","2.13kg","Inspiron 3576.jpg",0,0,"WD4XO","UC150 with Mic","MS116 optical",0
170,"Inspiron 7570","Intel Core i7 8550U 1.8GHz",8,89126,"Notebook","15.6","IPS Panel Full HD 1920x1080","256GB SSD +  1TB HDD","Nvidia GeForce 940MX","Windows 10","2.16kg","Inspiron 7570.jpg",0,0,"KB216 ","UC150 with Mic","MS111 optical",0
4,"Inspiron 3552","Intel Pentium Quad Core N3710 1.6GHz",4,25547,"Notebook","15.6","1366x768","500GB HDD","Intel HD Graphics","Linux","2.2kg","Inspiron 3552.jpg",0,0,"KB216 ","UC150 with Mic","MS111 optical",0
29,"Latitude E5570","Intel Core i5 6200U 2.3GHz",4,41288,"Notebook","15.6","1366x768","500GB HDD","Intel HD Graphics 520","Linux","2.09kg","Latitude.jpg",0,0,"WD4XO","UC150 with Mic","MS116 optical",0
5,"Inspiron 3567","Intel Core i3 6006U 2.0GHz",4,28307,"Notebook","15.6","1366x768","1TB HDD","Intel HD Graphics 520","Linux","2.25kg","Inspiron 3567.jpg",0,0,"KB216 ","UC150 with Mic","MS111 optical",0
18,"Vostro 3568","Intel Core i3 6006U 2GHz",4,36665,"Notebook","15.6","1366x768","1TB HDD","AMD Radeon R5 M420","Linux","2.18kg","Vostro.jpg",0,0,"KB216 ","UC300 with Mic","WM118 optical",0
114,"Inspiron 5570","Intel Core i7 8550U 1.8GHz",8,68599,"Notebook","15.6","Full HD 1920x1080","256GB SSD","AMD Radeon 530","Windows 10","2.2kg","Inspiron 5570.jpg",0,0,"KB216 ","UC150 with Mic","MS111 optical",0
131,"Latitude 5580","Intel Core i5 7300U 2.6GHz",8,73724,"Notebook","15.6","Full HD 1920x1080","500GB HDD","Intel HD Graphics 620","Windows 10","1.9kg","Latitude.jpg",0,0,"KB216 ","UC300 with Mic","MS111 optical",0
124,"Inspiron 5567","Intel Core i7 7500U 2.7GHz",16,70886,"Notebook","15.6","Full HD 1920x1080","256GB SSD","AMD Radeon R7 M445","Linux","2.36kg","Inspiron 5567.jpg",0,0,"KB216 ","UC300 with Mic","MS111 optical",0
71,"Inspiron 3576","Intel Core i7 8550U 1.8GHz",8,57960,"Notebook","15.6","Full HD 1920x1080","256GB SSD","AMD Radeon 520","Linux","2.14kg","Inspiron 3576.jpg",5,1,"KB216 ","UC300 with Mic","WM126 optical red",1
118,"Inspiron 7559","Intel Core i7 6700HQ 2.6GHz",16,69309,"Gaming","15.6","Full HD 1920x1080","1TB HDD","Nvidia GeForce GTX 960<U+039C>","Windows 10","2.59kg","Inspiron 7559.jpg",0,0,"KB216 ","UC150 with Mic","MS111 optical",0
52,"Inspiron 5378","Intel Core i3 7100U 2.4GHz",4,51173,"2 in 1 Convertible","13.3","Full HD / Touchscreen 1920x1080","1TB HDD","Intel HD Graphics 620","Windows 10","1.71kg","Inspiron.jpg",0,0,"KB216 ","UC300 with Mic","WM118 optical",0
94,"Inspiron 5368","Intel Core i7 6500U 2.5GHz",8,62923,"2 in 1 Convertible","13.3","Full HD / Touchscreen 1920x1080","256GB SSD","Intel HD Graphics 520","Windows 10","1.62kg","Inspiron 5368.jpg",0,0,"WD4XO","UC150 with Mic","MS116 optical",0
93,"Inspiron 5570","Intel Core i5 8250U 1.6GHz",8,62875,"Notebook","15.6","Full HD 1920x1080","256GB SSD","AMD Radeon 530","Windows 10","2.2kg","Inspiron 5570.jpg",0,0,"WD4XO","UC150 with Mic","MS116 optical",0
95,"Inspiron 5579","Intel Core i5 8250U 1.6GHz",8,63001,"2 in 1 Convertible","15.6","Full HD / Touchscreen 1920x1080","256GB SSD","Intel UHD Graphics 620","Windows 10","2.67kg","Inspiron.jpg",0,0,"WD4XO","UC150 with Mic","MS116 optical",0
89,"Inspiron 5567","Intel Core i5 7200U 2.5GHz",8,61818,"Notebook","15.6","1366x768","1TB HDD","AMD Radeon R7 M445","Windows 10","2.5kg","Inspiron 5567.jpg",0,0,"WD4XO","UC150 with Mic","MS116 optical",0
77,"Latitude 3180","Intel Pentium Quad Core N4200 1.1GHz",4,58664,"Netbook","11.6","1366x768","128GB SSD","Intel HD Graphics 505","Windows 10","1.63kg","Latitude.jpg",0,0,"KB216 ","UC300 with Mic","WM126 optical red",0
74,"Vostro 5568","Intel Core i3 6006U 2GHz",8,58270,"Notebook","15.6","Full HD 1920x1080","256GB SSD","AMD Radeon R5 M420X","Windows 10","2kg","Vostro.jpg",0,0,"KB216 ","UC300 with Mic","WM126 optical red",0
61,"Inspiron 3576","Intel Core i5 8250U 1.6GHz",8,53409,"Notebook","15.6","Full HD 1920x1080","256GB SSD","AMD Radeon 520","Linux","2.2kg","Inspiron 3576.jpg",0,0,"KB216 ","UC300 with Mic","WM118 optical",0
50,"Inspiron 3567","Intel Core i5 7200U 2.5GHz",4,50385,"Notebook","15.6","Full HD 1920x1080","256GB SSD","AMD Radeon R5 M430","Windows 10","2.3kg","Inspiron 3567.jpg",0,0,"KB216 ","UC300 with Mic","WM118 optical",0
90,"Vostro 3568","Intel Core i5 7200U 2.5GHz",8,62276,"Notebook","15.6","Full HD 1920x1080","256GB SSD","AMD Radeon R5 M420","Windows 10","2.18kg","Vostro.jpg",0,0,"WD4XO","UC150 with Mic","MS116 optical",0
75,"Vostro 3568","Intel Core i7 7500U 2.7GHz",4,58270,"Notebook","15.6","Full HD 1920x1080","256GB SSD","AMD Radeon R5 M420","Windows 10","2.18kg","Vostro.jpg",0,0,"KB216 ","UC300 with Mic","WM126 optical red",0
78,"Inspiron 3567","Intel Core i7 7500U 2.7GHz",8,58743,"Notebook","15.6","Full HD 1920x1080","256GB SSD","AMD Radeon R5 M430","Windows 10","2.2kg","Inspiron 3567.jpg",5,1,"KB216 ","UC300 with Mic","WM126 optical red",1
41,"Inspiron 5567","Intel Core i5 7200U 2.5GHz",8,46483,"Notebook","15.6","1366x768","1TB HDD","AMD Radeon R7 M445","Linux","2.32kg","Inspiron 5567.jpg",5,0,"WD4XO","UC150 with Mic","MS111 optical",0
