Id,Product,Cpu,Ram,Price,TypeName,Inches,ScreenResolution,Memory,Gpu,OpSys,Weight,Performance,Speed,Priority,Mouse,Keyboard,Headset
81,Inspiron 3567,Intel Core i7 7500U 2.7GHz,8,59059,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon R5 M430,Linux,2.2kg,125,8,336,WM126 optical red,KB216 ,UC300 with Mic
75,Vostro 3568,Intel Core i7 7500U 2.7GHz,4,58270,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon R5 M420,Windows 10,2.18kg,125,4,336,WM126 optical red,KB216 ,UC300 with Mic
65,Inspiron 5567,Intel Core i7 7500U 2.7GHz,12,56225,Notebook,15.6,1366x768,1TB HDD,Intel HD Graphics 620,Windows 10,2.3kg,125,12,336,WM118 optical,KB216 ,UC300 with Mic
78,Inspiron 3567,Intel Core i7 7500U 2.7GHz,8,58743,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon R5 M430,Windows 10,2.2kg,125,8,336,WM126 optical red,KB216 ,UC300 with Mic
97,Inspiron 3567,Intel Core i7 7500U 2.7GHz,8,63552,Notebook,15.6,1366x768,1TB HDD,AMD Radeon R5 M430,Linux,2.3kg,125,8,336,MS116 optical,KB216 ,UC150 with Mic
80,Inspiron 5567,Intel Core i7 7500U 2.7GHz,8,59058,Notebook,15.6,1366x768,1TB HDD,AMD Radeon R7 M445,Windows 10,2.36kg,125,8,336,WM126 optical red,KB216 ,UC300 with Mic
71,Inspiron 3576,Intel Core i7 8550U 1.8GHz,8,57960,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon 520,Linux,2.14kg,134,8,336,WM126 optical red,KB216 ,UC300 with Mic
85,Inspiron 3576,Intel Core i7 8550U 1.8GHz,8,60541,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon 520,Windows 10,2.13kg,134,8,336,MS116 optical,WD4XO,UC150 with Mic
108,Inspiron 5570,Intel Core i7 8550U 1.8GHz,8,67416,Notebook,15.6,Full HD 1920x1080,128GB SSD +  1TB HDD,Intel UHD Graphics 620,Windows 10,2.02kg,134,8,336,MS111 optical,KB216 ,UC150 with Mic
114,Inspiron 5570,Intel Core i7 8550U 1.8GHz,8,68599,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon 530,Windows 10,2.2kg,134,8,336,MS111 optical,KB216 ,UC150 with Mic
88,Inspiron 5567,Intel Core i7 7500U 2.7GHz,8,61413,Notebook,15.6,Full HD 1920x1080,256GB SSD,AMD Radeon R7 M445,Linux,2.33kg,125,8,336,MS116 optical,WD4XO,UC150 with Mic
105,Inspiron 5379,Intel Core i7 8550U 1.8GHz,8,66155,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,1TB HDD,Intel UHD Graphics 620,Windows 10,1.62kg,134,8,339,MS111 optical,KB216 ,UC150 with Mic
