,Price,Cpu,Ram
0,56490,Intel Core i5 9250U 1.6GHz,8
1,59990,Intel Core i5 5001U 2.3GHz,8
2,59798,Intel Core i5 9250U 1.6GHz,8
3,52990,Intel Core i5 8250U 1.6GHz,8
4,66990,Intel Core i7 9650U 2.9GHz,8
5,59990,Intel Core i5 8250U 1.6GHz,8
6,62990,Intel Core i5 9250U 1.6GHz,8
8,54990,Intel Core i5 9250U 1.6GHz,8
9,67990,Intel Core i5 8250U 1.6GHz,8
10,50990,Intel Core i5 8250U 1.6GHz,8
12,59990,Intel Core i5 9250U 1.6GHz,8
14,58990,Intel Core i7 8650U 1.9GHz,8
21,54990,Intel Core i3 8130U 2.7GHz,8
22,56990,Intel Core i5 8250U 1.6GHz,8
23,69990,Intel Core i5 8250U 1.6GHz,8
24,61850,Intel Core i5 8250U 1.6GHz,8
25,52999,Intel Core i3 8130U 2.7GHz,4
26,57990,Intel Core i5 8250U 1.6GHz,8
27,53990,Intel Core i3 8130U 2.7GHz,8
28,62164,Intel Core i5 8250U 1.6GHz,8
29,64990,Intel Core i3 8130U 2.7GHz,8
30,53990,Intel Core i5 8250U 1.6GHz,8
31,67990,Intel Core i5 8250U 1.6GHz,8
32,63390,Intel Core i5 9250U 1.6GHz,8
33,65490,Intel Core i5 8250U 1.6GHz,8
34,53990,Intel Core i5 8250U 1.6GHz,8
35,57990,Intel Core i5 8250U 1.6GHz,8
36,57649,Intel Core i7 8650U 1.9GHz,8
37,63949,Intel Core i5 8250U 1.6GHz,8
38,53990,Intel Core i5 9250U 1.6GHz,8
39,50999,Intel Core i5 8250U 1.6GHz,4
40,50990,Intel Core i5 8250U 1.6GHz,8
41,58990,Intel Core i5 8250U 1.6GHz,8
42,52990,Intel Core i5 8250U 1.6GHz,8
43,67889,Intel Core i5 8250U 1.6GHz,8
44,68990,Intel Core i5 10250U 1.6GHz,8
45,53990,Intel Core i5 8250U 1.6GHz,8
46,50999,Intel Core i3 10130U 2.7GHz,4
47,62850,Intel Core i5 8250U 1.6GHz,8
48,56990,Intel Core i5 8250U 1.6GHz,8
49,65990,Intel Core i7 8650U 1.9GHz,8
50,58990,Intel Core i7 8650U 1.9GHz,8
51,61990,Intel Core i5 8250U 1.6GHz,8
52,67990,Intel Core i5 8250U 1.6GHz,8
53,62990,Intel Core i5 8250U 1.6GHz,8
54,52990,Intel Core i5 8250U 1.6GHz,8
55,63166,Intel Core i5 8250U 1.6GHz,8
56,58602,Intel Core i5 10250U 1.6GHz,8
57,62990,Intel Core i5 8250U 1.6GHz,8
58,69500,Intel Core i5 8250U 1.6GHz,8
