,Price,Cpu,Ram
1,92175.65,Intel Core i7 7700HQ 2.8GHz,8
2,92175.65,Intel Core i7 6700HQ 2.6GHz,8
3,92175.65,Intel Core i7 6700HQ 2.6GHz,8
4,92964.15,Intel Core i7 7700HQ 2.8GHz,16
5,93594.95,Intel Core i7 7700HQ 2.8GHz,8
6,93752.65,Intel Core i7 7700HQ 2.8GHz,8
7,93910.35,Intel Core i7 7700HQ 2.8GHz,8
8,93973.43,Intel Core i7 7700HQ 2.8GHz,8
9,93973.43,Intel Core i7 7700HQ 2.8GHz,8
10,94225.75,Intel Core i5 7300HQ 2.5GHz,8
11,94304.6,Intel Core i7 6700HQ 2.6GHz,8
12,94541.15,Intel Core i7 7700HQ 2.8GHz,8
13,94541.15,Intel Core i5 7300HQ 2.5GHz,8
14,94541.15,Intel Core i7 7700HQ 2.8GHz,8
15,94541.15,Intel Core i7 7700HQ 2.8GHz,16
16,94541.15,Intel Core i7 7700HQ 2.8GHz,8
17,96906.65,Intel Core i7 6700HQ 2.6GHz,8
18,98483.65,Intel Core i7 7700HQ 2.8GHz,12
19,98483.65,Intel Core i7 7700HQ 2.8GHz,8
20,98504.151,Intel Core i7 7700HQ 2.8GHz,16
21,99351,Intel Core i7 7700HQ 2.8GHz,8
22,99745.25,Intel Core i7 7700HQ 2.8GHz,8
23,100060.65,Intel Core i7 6700HQ 2.6GHz,24
24,100297.2,Intel Core i7 6700HQ 2.6GHz,8
25,100849.15,Intel Core i7 6820HK 2.7GHz,32
26,102031.9,Intel Core i7 7700HQ 2.8GHz,16
27,102426.15,Intel Core i7 7700HQ 2.8GHz,16
28,102426.15,Intel Core i7 7700HQ 2.8GHz,8
29,102426.15,Intel Core i5 7300HQ 2.5GHz,16
30,102899.25,Intel Core i7 6700HQ 2.6GHz,16
31,103489.8365,Intel Core i7 6700HQ 2.6GHz,8
32,104791.65,Intel Core i7 6700HQ 2.6GHz,16
33,105580.15,Intel Core i7 7700HQ 2.8GHz,8
34,105580.15,Intel Core i7 6700HQ 2.6GHz,16
35,106327.648,Intel Core i7 7700HQ 2.8GHz,8
36,106368.65,Intel Core i7 7700HQ 2.8GHz,16
37,106368.65,Intel Core i7 7700HQ 2.8GHz,8
38,106368.65,Intel Core i7 7700HQ 2.8GHz,16
39,106447.5,Intel Core i7 7700HQ 2.8GHz,8
40,108016.615,Intel Core i5 7300HQ 2.5GHz,12
41,108734.15,Intel Core i7 7700HQ 2.8GHz,16
