,Price,Cpu,Ram
1,35001.515,Intel Core i3 6006U 2.0GHz,4
2,35008.6115,Intel Pentium Quad Core N3700 1.6GHz,4
3,35009.4,Intel Core i3 6006U 2GHz,4
4,35159.215,AMD A6-Series A6-9220 2.5GHz,8
5,35245.95,Intel Core i3 6006U 2GHz,4
6,35245.95,Intel Core i3 6006U 2.2GHz,4
7,35403.65,Intel Core i3 6006U 2GHz,4
8,35403.65,Intel Core i3 6006U 2GHz,4
9,35403.65,Intel Core i3 6006U 2GHz,4
10,35403.65,Intel Celeron Quad Core N3450 1.1GHz,6
11,35403.65,Intel Pentium Quad Core N4200 1.1GHz,4
12,35403.65,AMD A8-Series 7410 2.2GHz,8
13,35482.5,Intel Core i3 6006U 2GHz,4
14,35482.5,Intel Core i3 6006U 2GHz,4
15,35561.35,AMD A9-Series 9420 3GHz,4
16,35931.945,Intel Core i3 6006U 2.0GHz,4
17,36192.15,Intel Core i3 7100U 2.4GHz,8
18,36192.15,Intel Core i3 6006U 2GHz,8
19,36192.15,Intel Core i3 6100U 2.3GHz,8
20,36192.15,Intel Core i3 6006U 2.0GHz,8
21,36192.15,Intel Core i3 7100U 2.4GHz,6
22,36192.15,Intel Core i3 7100U 2.4GHz,6
23,36192.15,Intel Core i3 7100U 2.4GHz,6
24,36263.115,Intel Celeron Dual Core 3855U 1.6GHz,4
25,36456.2975,Intel Core i5 6200U 2.3GHz,4
26,36665.25,Intel Core i3 6006U 2GHz,4
27,36714.137,Intel Core i3 6006U 2.0GHz,4
28,36744.1,Intel Pentium Quad Core N4200 1.1GHz,4
29,36822.95,Intel Core i5 7200U 2.5GHz,4
30,36901.8,Intel Core i5 7200U 2.5GHz,4
31,36901.8,Intel Core i3 6006U 2GHz,4
32,36980.65,AMD A9-Series 9420 3GHz,4
33,36980.65,Intel Core i3 6006U 2GHz,4
34,36980.65,AMD A8-Series 7410 2.2GHz,8
35,36980.65,Intel Core i3 6006U 2GHz,4
36,36980.65,Intel Core i3 6006U 2GHz,4
37,36980.65,Intel Core i3 6006U 2.0GHz,4
38,36981.4385,Intel Core i3 7100U 2.4GHz,8
39,37086.309,Intel Pentium Quad Core N4200 1.1GHz,4
40,37453.75,Intel Celeron Dual Core N3060 1.6GHz,4
41,37610.6615,Intel Core i5 6200U 2.3GHz,4
42,37690.3,Intel Core i3 6006U 2GHz,4
43,37760.4765,AMD A6-Series A6-9220 2.5GHz,4
44,37769.15,Intel Core i3 7100U 2.4GHz,6
45,37769.15,Intel Pentium Quad Core N3710 1.6GHz,4
